Combined localizations
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-ByteblazarsNoBlurryTextures\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-Material Modifier\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\.idea.0-SCore.dir\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\.idea.0-SCore.dir\.idea\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.vs\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\Stamps\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\StampsV2\localization.txt "
Key,English,French,german,russian
G36KVDesc,This rare Tactical Assault Rifle uses 5.56mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts."Dieses seltene Sturmgewehr verwendet 5,56-mm-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Maschinengewehrteilen zerlegt werden.","Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta.","Ce fusil d'assaut tactique utilise des munitions de calibre 7,62 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de mitrailleuse.","Questo fucile d'assalto tattico usa munizioni da 7,62 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per mitragliatrice.",タクティカルアサルトライフルには7.62mm弾が使用されます。\n\n修理キットで修復可能。\n解体するとマシンガンパーツに。,이 전술용 돌격 라이플은 7.62mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n기관총 부품으로 분해됩니다.,"Taktyczny karabin automatyczny kalibru 7,62 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części karabinu maszynowego.","Este rifle de assalto tático usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora.","Тактическая штурмовая винтовка использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части автоматического оружия.","Bu Taktik Saldırı Tüfeğinde 7,62 mm mühimmat kullanılır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Makineli Tüfek Parçaları elde et.",这款战术突击步枪使用7.62毫米弹药。\n\n可使用维修工具修理。\n可分解为机枪零件。,這個戰術突擊步槍使用的是 7.62 毫米的子彈。\n\n使用維修工具包維修。\n機槍部件報廢。,"Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta."
G36KVSchematic,G36KV SchematicG36KV Bauplan

gatling,M134 MinigunGattling,Rifle de asalto táctico,Fusil d'assaut tactique,Fucile d'assalto tattico,タクティカルアサルトライフル,전술용 돌격 라이플,Taktyczny karabin automatyczny,Rifle de Assalto Tático,Тактическая штурмовая винтовка,Taktik Saldırı Tüfeği,战术突击步枪,戰術突擊步槍,Rifle de asalto táctico
gatlingDesc,"A giant gun with an attitude. While the accuracy is abysmal, the RPM is second to none.  Get in close and mow them down.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.""Dieses Monster will einfac nur töten.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Maschinengewehrteilen zerlegt werden.","Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta.","Ce fusil d'assaut tactique utilise des munitions de calibre 7,62 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de mitrailleuse.","Questo fucile d'assalto tattico usa munizioni da 7,62 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per mitragliatrice.",タクティカルアサルトライフルには7.62mm弾が使用されます。\n\n修理キットで修復可能。\n解体するとマシンガンパーツに。,이 전술용 돌격 라이플은 7.62mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n기관총 부품으로 분해됩니다.,"Taktyczny karabin automatyczny kalibru 7,62 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części karabinu maszynowego.","Este rifle de assalto tático usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora.","Тактическая штурмовая винтовка использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части автоматического оружия.","Bu Taktik Saldırı Tüfeğinde 7,62 mm mühimmat kullanılır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Makineli Tüfek Parçaları elde et.",这款战术突击步枪使用7.62毫米弹药。\n\n可使用维修工具修理。\n可分解为机枪零件。,這個戰術突擊步槍使用的是 7.62 毫米的子彈。\n\n使用維修工具包維修。\n機槍部件報廢。,"Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta."
gatlingSchematic,M134 Minigun SchematicGattling Bauplan

M14EBR,M14 EBR Battle RifleM14 EBR,Rifle de asalto táctico,Fusil d'assaut tactique,Fucile d'assalto tattico,タクティカルアサルトライフル,전술용 돌격 라이플,Taktyczny karabin automatyczny,Rifle de Assalto Tático,Тактическая штурмовая винтовка,Taktik Saldırı Tüfeği,战术突击步枪,戰術突擊步槍,Rifle de asalto táctico
gunMGT3M14EBRDesc,"This high precision, long ranged rifle is perfect for sniping enemies at great distances.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.\nUses 7.62 ammo.""Dieses hochpräzise Gewehr mit großer Reichweite eignet sich perfekt, um Gegner aus großer Entfernungen zu treffen, es verwendet 7,62mm.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Gewehrteilen zerlegt werden.",Este rifle de alta precisión y largo alcance es perfecto para apuntar a enemigos a grandes distancias.\n\nSe repara con un kit de reparación.\nDesguázalo para obtener partes de rifle,Ce fusil longue portée de haute précision est idéal pour tirer sur des ennemis très éloignés.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de fusil.,Questo fucile ad alta precisione e lungo raggio è perfetto per eliminare i nemici a grande distanza.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per fucile.,この高い精密性を持った遠距離ライフルは、遠くから敵を狙うのに最適です。\n\n修理キットで修復可能。\n解体するとライフルパーツに。,"높은 명중률의 원거리 라이플로, 적을 멀리서 저격하는 데 이상적입니다.\n\n수리 키트로 수리할 수 있습니다.\n라이플 부품으로 분해됩니다.",Ten precyzyjny karabin dalekiego zasięgu jest idealny do zdejmowania wrogów z dużej odległości.\n\nNaprawisz zestawem naprawczym.\nZezłomowanie zapewni części karabinu.,Este fuzil de longo alcance e alta precisão é perfeito para alvejar inimigos a grandes distâncias.\n\nRepare com um kit de reparos.\nRecicle para obter peças de rifle.,Высокоточная винтовка с большой дальностью стрельбы идеальна для уничтожения противника с дистанции.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части винтовки.,"Bu yüksek hassasiyete sahip uzun menzili tüfek, uzak mesafelerden düşmanları avlamak için harikadır.\n\nOnarım Kitiyle onar.\nHurdaya çıkardığında Tüfek parçaları elde edersin.",这种高精度的远程步枪非常适合远距离狙击敌人。\n\n可使用维修工具修理。\n可分解为步枪零件。,這支高精準度的長程步槍非常適合狙擊遠距離的敵人。\n\n用維修工具包維修。\n報廢步槍零件。,Este rifle de alta precisión y largo alcance es perfecto para apuntar a enemigos a grandes distancias.\n\nSe repara con un kit de reparación.\nDesguázalo para obtener partes de rifle
M14EBRSchematic,M14EBR SchematicM14EBR Bauplan

M16A4,M16A4 Assault RifleM16A4,Rifle de asalto táctico,Fusil d'assaut tactique,Fucile d'assalto tattico,タクティカルアサルトライフル,전술용 돌격 라이플,Taktyczny karabin automatyczny,Rifle de Assalto Tático,Тактическая штурмовая винтовка,Taktik Saldırı Tüfeği,战术突击步枪,戰術突擊步槍,Rifle de asalto táctico
M16A4Desc,This rare Tactical Assault Rifle uses 5.56mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts."Dieses seltene Sturmgewehr verwendet 5,56-mm-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Maschinengewehrteilen zerlegt werden.","Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta.","Ce fusil d'assaut tactique utilise des munitions de calibre 7,62 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de mitrailleuse.","Questo fucile d'assalto tattico usa munizioni da 7,62 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per mitragliatrice.",タクティカルアサルトライフルには7.62mm弾が使用されます。\n\n修理キットで修復可能。\n解体するとマシンガンパーツに。,이 전술용 돌격 라이플은 7.62mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n기관총 부품으로 분해됩니다.,"Taktyczny karabin automatyczny kalibru 7,62 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części karabinu maszynowego.","Este rifle de assalto tático usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora.","Тактическая штурмовая винтовка использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части автоматического оружия.","Bu Taktik Saldırı Tüfeğinde 7,62 mm mühimmat kullanılır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Makineli Tüfek Parçaları elde et.",这款战术突击步枪使用7.62毫米弹药。\n\n可使用维修工具修理。\n可分解为机枪零件。,這個戰術突擊步槍使用的是 7.62 毫米的子彈。\n\n使用維修工具包維修。\n機槍部件報廢。,"Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta."
M16A4Schematic,M16A4 SchematicM16A4 Bauplan

M249,M249 Machine GunM249-Maschinengewehr,Metralleta M60,Mitrailleuse M60,Mitragliatrice M60,M60マシンガン,M60 기관총,Karabin maszynowy M60,Metralhadora M60,Пулемет М60,M60 Makineli Tüfek,M60机枪,M60 機槍,Metralleta M60
M249Desc,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses 5.56mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts."Maschinengewehre sind etwas unhandlich, zeichnen sich aber durch hervorragendes automatisches Feuer aus. Dieses verwendet 5,56-mm-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Maschinengewehrteilen zerlegt werden.","Las metralletas son un poco incómodas de usar pero son estupendas para el disparo automático. Esta utiliza munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta.","Les mitrailleuses sont assez encombrantes à utiliser, mais elles sont les reines du tir automatique. Elle utilise des munitions de calibre 7,62 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de mitrailleuse.","Le mitragliatrici sono piuttosto ingombranti da usare ma spaccano in fatto di fuoco automatico. Questa qui usa munizioni da 7,62 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per mitragliatrice.",マシンガンはやや取り回しに苦労しますが、自動連射にとても優れています。これには7.62mm弾を使用します。\n\n修理キットで修復可能。\n解体するとマシンガンパーツに。,"기관총은 다소 다루기가 어렵지만, 자동 발사 성능이 뛰어납니다. 7.62mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n기관총 부품으로 분해됩니다.","Karabiny maszynowe są nieporęczne, ale wystrzeliwują grad pocisków. Kaliber 7,62 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części karabinu maszynowego.","As metralhadoras são um pouco complicadas de usar, mas se destacam pelo disparo automático. Usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora.","Пулеметы несколько громоздки, но идеальны для автоматической стрельбы. Этот использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части автоматического оружия.","Makineli tüfekleri kullanması biraz zahmetlidir ancak otomatik atışlarda bunların üzerine tanınmaz. Bu silahta 7,62 mm mühimmat kullanılır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Makineli Tüfek Parçaları elde et.",机枪使用起来可能有些笨重，但在自动射击方面表现优越。使用7.62毫米弹药。\n\n可使用维修工具修理。\n可分解为机枪零件。,機關槍使用起來有些麻煩，但自動射擊十分出色。這把槍使用的是 7.62 毫米的子彈。\n\n使用維修工具包維修。\n機槍部件報廢。,"Las metralletas son un poco incómodas de usar pero son estupendas para el disparo automático. Esta utiliza munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta."
M249Schematic,M-249 SchematicM249 Bauplan

M4A1,M4A1 Assault RifleM4A1,Rifle de asalto táctico,Fusil d'assaut tactique,Fucile d'assalto tattico,タクティカルアサルトライフル,전술용 돌격 라이플,Taktyczny karabin automatyczny,Rifle de Assalto Tático,Тактическая штурмовая винтовка,Taktik Saldırı Tüfeği,战术突击步枪,戰術突擊步槍,Rifle de asalto táctico
M4A1Desc,This rare Tactical Assault Rifle uses 5.56mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts."Dieses seltene Sturmgewehr verwendet 5,56-mm-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Maschinengewehrteilen zerlegt werden.","Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta.","Ce fusil d'assaut tactique utilise des munitions de calibre 7,62 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de mitrailleuse.","Questo fucile d'assalto tattico usa munizioni da 7,62 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per mitragliatrice.",タクティカルアサルトライフルには7.62mm弾が使用されます。\n\n修理キットで修復可能。\n解体するとマシンガンパーツに。,이 전술용 돌격 라이플은 7.62mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n기관총 부품으로 분해됩니다.,"Taktyczny karabin automatyczny kalibru 7,62 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części karabinu maszynowego.","Este rifle de assalto tático usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora.","Тактическая штурмовая винтовка использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части автоматического оружия.","Bu Taktik Saldırı Tüfeğinde 7,62 mm mühimmat kullanılır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Makineli Tüfek Parçaları elde et.",这款战术突击步枪使用7.62毫米弹药。\n\n可使用维修工具修理。\n可分解为机枪零件。,這個戰術突擊步槍使用的是 7.62 毫米的子彈。\n\n使用維修工具包維修。\n機槍部件報廢。,"Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta."
M4A1Schematic,M4A1 Schematic

M60E4,M60E4 Machine GunM60E4,Rifle de asalto táctico,Fusil d'assaut tactique,Fucile d'assalto tattico,タクティカルアサルトライフル,전술용 돌격 라이플,Taktyczny karabin automatyczny,Rifle de Assalto Tático,Тактическая штурмовая винтовка,Taktik Saldırı Tüfeği,战术突击步枪,戰術突擊步槍,Rifle de asalto táctico
M60E4Desc,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts."Maschinengewehre sind etwas unhandlich, zeichnen sich aber durch hervorragendes automatisches Feuer aus. Dieses verwendet 7,62-mm-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Maschinengewehrteilen zerlegt werden.","Las metralletas son un poco incómodas de usar pero son estupendas para el disparo automático. Esta utiliza munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta.","Les mitrailleuses sont assez encombrantes à utiliser, mais elles sont les reines du tir automatique. Elle utilise des munitions de calibre 7,62 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de mitrailleuse.","Le mitragliatrici sono piuttosto ingombranti da usare ma spaccano in fatto di fuoco automatico. Questa qui usa munizioni da 7,62 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per mitragliatrice.",マシンガンはやや取り回しに苦労しますが、自動連射にとても優れています。これには7.62mm弾を使用します。\n\n修理キットで修復可能。\n解体するとマシンガンパーツに。,"기관총은 다소 다루기가 어렵지만, 자동 발사 성능이 뛰어납니다. 7.62mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n기관총 부품으로 분해됩니다.","Karabiny maszynowe są nieporęczne, ale wystrzeliwują grad pocisków. Kaliber 7,62 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części karabinu maszynowego.","As metralhadoras são um pouco complicadas de usar, mas se destacam pelo disparo automático. Usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora.","Пулеметы несколько громоздки, но идеальны для автоматической стрельбы. Этот использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части автоматического оружия.","Makineli tüfekleri kullanması biraz zahmetlidir ancak otomatik atışlarda bunların üzerine tanınmaz. Bu silahta 7,62 mm mühimmat kullanılır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Makineli Tüfek Parçaları elde et.",机枪使用起来可能有些笨重，但在自动射击方面表现优越。使用7.62毫米弹药。\n\n可使用维修工具修理。\n可分解为机枪零件。,機關槍使用起來有些麻煩，但自動射擊十分出色。這把槍使用的是 7.62 毫米的子彈。\n\n使用維修工具包維修。\n機槍部件報廢。,"Las metralletas son un poco incómodas de usar pero son estupendas para el disparo automático. Esta utiliza munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta."
M60E4Schematic,M60E4 SchematicM60E4 Bauplan

SA58OSW,SA58 OSW Assault RifleSA58 OSW,Rifle de asalto táctico,Fusil d'assaut tactique,Fucile d'assalto tattico,タクティカルアサルトライフル,전술용 돌격 라이플,Taktyczny karabin automatyczny,Rifle de Assalto Tático,Тактическая штурмовая винтовка,Taktik Saldırı Tüfeği,战术突击步枪,戰術突擊步槍,Rifle de asalto táctico
SA58OSWDesc,This rare Tactical Assault Rifle uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts."Dieses seltene Sturmgewehr verwendet 7,62-mm-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Maschinengewehrteilen zerlegt werden.","Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta.","Ce fusil d'assaut tactique utilise des munitions de calibre 7,62 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de mitrailleuse.","Questo fucile d'assalto tattico usa munizioni da 7,62 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per mitragliatrice.",タクティカルアサルトライフルには7.62mm弾が使用されます。\n\n修理キットで修復可能。\n解体するとマシンガンパーツに。,이 전술용 돌격 라이플은 7.62mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n기관총 부품으로 분해됩니다.,"Taktyczny karabin automatyczny kalibru 7,62 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części karabinu maszynowego.","Este rifle de assalto tático usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora.","Тактическая штурмовая винтовка использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части автоматического оружия.","Bu Taktik Saldırı Tüfeğinde 7,62 mm mühimmat kullanılır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Makineli Tüfek Parçaları elde et.",这款战术突击步枪使用7.62毫米弹药。\n\n可使用维修工具修理。\n可分解为机枪零件。,這個戰術突擊步槍使用的是 7.62 毫米的子彈。\n\n使用維修工具包維修。\n機槍部件報廢。,"Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta."
SA58OSWSchematic,SA58OSW SchematicSA580OSW Bauplan

SCAR_H,SCAR-H Assault RifleSCAR-H,Rifle de asalto táctico,Fusil d'assaut tactique,Fucile d'assalto tattico,タクティカルアサルトライフル,전술용 돌격 라이플,Taktyczny karabin automatyczny,Rifle de Assalto Tático,Тактическая штурмовая винтовка,Taktik Saldırı Tüfeği,战术突击步枪,戰術突擊步槍,Rifle de asalto táctico
SCAR_HDesc,This rare Tactical Assault Rifle uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts."Dieses taktische Sturmgewehr verwendet 7,62-mm-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Maschinengewehrteilen zerlegt werden.","Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta.","Ce fusil d'assaut tactique utilise des munitions de calibre 7,62 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de mitrailleuse.","Questo fucile d'assalto tattico usa munizioni da 7,62 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per mitragliatrice.",タクティカルアサルトライフルには7.62mm弾が使用されます。\n\n修理キットで修復可能。\n解体するとマシンガンパーツに。,이 전술용 돌격 라이플은 7.62mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n기관총 부품으로 분해됩니다.,"Taktyczny karabin automatyczny kalibru 7,62 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części karabinu maszynowego.","Este rifle de assalto tático usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora.","Тактическая штурмовая винтовка использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части автоматического оружия.","Bu Taktik Saldırı Tüfeğinde 7,62 mm mühimmat kullanılır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Makineli Tüfek Parçaları elde et.",这款战术突击步枪使用7.62毫米弹药。\n\n可使用维修工具修理。\n可分解为机枪零件。,這個戰術突擊步槍使用的是 7.62 毫米的子彈。\n\n使用維修工具包維修。\n機槍部件報廢。,"Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta."
SCAR_HSchematic,SCAR_H SchematicSCAR-H Bauplan,

SCAR_L,SCAR-L Assault RifleSCAR-L,Rifle de asalto táctico,Fusil d'assaut tactique,Fucile d'assalto tattico,タクティカルアサルトライフル,전술용 돌격 라이플,Taktyczny karabin automatyczny,Rifle de Assalto Tático,Тактическая штурмовая винтовка,Taktik Saldırı Tüfeği,战术突击步枪,戰術突擊步槍,Rifle de asalto táctico
SCAR_LDesc,This rare Tactical Assault Rifle uses 5.56mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts."Dieses taktische Sturmgewehr verwendet 7,62-mm-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Maschinengewehrteilen zerlegt werden.","Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta.","Ce fusil d'assaut tactique utilise des munitions de calibre 7,62 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de mitrailleuse.","Questo fucile d'assalto tattico usa munizioni da 7,62 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per mitragliatrice.",タクティカルアサルトライフルには7.62mm弾が使用されます。\n\n修理キットで修復可能。\n解体するとマシンガンパーツに。,이 전술용 돌격 라이플은 7.62mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n기관총 부품으로 분해됩니다.,"Taktyczny karabin automatyczny kalibru 7,62 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części karabinu maszynowego.","Este rifle de assalto tático usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora.","Тактическая штурмовая винтовка использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части автоматического оружия.","Bu Taktik Saldırı Tüfeğinde 7,62 mm mühimmat kullanılır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Makineli Tüfek Parçaları elde et.",这款战术突击步枪使用7.62毫米弹药。\n\n可使用维修工具修理。\n可分解为机枪零件。,這個戰術突擊步槍使用的是 7.62 毫米的子彈。\n\n使用維修工具包維修。\n機槍部件報廢。,"Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta."
SCAR_LSchematic,SCAR_L SchematicSCAR-L Bauplan

WinchesterM1894,Winchester M1894 RifleWinchester M1894,Rifle de caza,Fusil de chasse,Fucile da caccia,狩猟ライフル,사냥용 라이플,Sztucer,Rifle de caça,Охотничье ружье,Av Tüfeği,猎枪,狩獵步槍,Rifle de caza
WinchesterM1894Desc,This old-school farmer's hunting rifle uses 45 Long Colt ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts."Dieses alte Jagdgewehr verwendet 7,62-mm-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Gewehrteilen zerlegt werden.","Este rifle de caza común utiliza munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de rifle.","Ce fusil de chasse commun de fermier utilise des munitions de calibre 7,62 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de fusil.","Questo normale fucile da caccia usa munizioni da 7,62 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per fucile.",7.62mm弾を使用する普通の農夫が持つような狩猟ライフルです。\n\n修理キットで修復可能。\n解体するとライフルパーツに。,이 평범한 농부의 사냥용 라이플은 7.62mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n기관총 부품으로 분해됩니다.,"Popularny wśród farmerów model sztucera kalibru 7,62 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części karabinu.","Este rifle de caça comum entre fazendeiros usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de rifle.","Распространенное среди фермеров охотничье ружье использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части ружья.","Çiftçilerin elinden düşürmediği bu basit av tüfeği, 7,62 mm mühimmat kullanır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Tüfek parçaları elde et.",普通农民使用的猎枪，使用7.62毫米弹药。\n\n可使用维修工具修理。\n可分解为步枪零件。,狩獵步槍一般使用的是 7.62 毫米的子彈。\n\n使用維修工具包維修。\n步槍部件報廢。,"Este rifle de caza común utiliza munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de rifle."
WinchesterM1894Schematic,WinchesterM1894 SchematicWinchesterM1894 Bauplan

